K20	天下茶屋	てんがちゃや	Tengachaya
NS02	絹延橋	きぬのべばし	Kinunobebashi
NS03	滝山	たきやま	Takiyama
NS04	鶯の森	うぐいすのもり	Uguisuno-morimachi
NS05	鼓滝	つづみがたき	Tsuzumigataki
NS06	多田	ただ	Tada
NS07	平野	ひらの	Hirano
NS08	一の鳥居	いちのとりい	Ichino-torii
NS09	畦野	うねの	Uneno
NS10	山下	やました	Yamashita
NS11	笹部	ささべ	Sasabe
NS12	光風台	こうふうだい	Kofudai
NS13	ときわ台	ときわだい	Tokiwadai
NS14	妙見口	みょうけんぐち	Myokenguchi
NS12	日生中央	にっせいちゅうおう	Nissei-chuo
